page,num_users,page_views,year ,url,pkg_exists
viewurnuuid8eb73d4e1c4246eba367e76ea2f15414,24,37,2017,https://arcticdata.io/catalog/view/urn:uuid:8eb73d4e-1c42-46eb-a367-e76ea2f15414,
viewdoi1018739A2408F,23,75,2017,https://arcticdata.io/catalog/view/doi:10.18739/A2408F,
viewdoi1018739A2WX0J,23,70,2017,https://arcticdata.io/catalog/view/doi:10.18739/A2WX0J,
viewurnuuid4d549744fe0046a5a8ef77f92a0d438a,23,41,2017,,
viewdoi1018739A2280J,23,73,2017,,
viewdoi1018739A20955,22,36,2017,,
viewurnuuide9136a64661f470d9b3a72f31d54d066,22,37,2017,,
viewurnuuideec9136f095f4e87a611522028991520,21,31,2017,,
viewurnuuidff7b9006a7f7464296ecf2ba5da2b223,21,36,2017,,
viewdoi1018739A2B958,21,28,2017,,
viewurnuuidb9d66cfcb9cf47f28297831f022e7469,20,28,2017,,
viewdoi1018739A2W389,20,29,2017,,
viewurnuuidebe25bc7c9de444087c0a5d0d6267fec,20,34,2017,,
viewdoi1018739A2136S,20,97,2017,,
viewarcticdata137161,20,44,2017,,
viewdoi1018739A23T0C,20,33,2017,,
viewdoi1018739A2508R,19,40,2017,,
viewdoi1018739A23M22,19,54,2017,,
viewdoi1018739A2M37F,19,30,2017,,
viewarcticdata77924,19,35,2017,,
viewurnuuid1fc42aeb353d4af0b97c75f670ed21a6,19,36,2017,,
viewarcticdata100531,18,57,2017,,
viewurnuuid16726b272bf642c9a30d60f82d6271fc,18,49,2017,,
viewdoi1018739A20M58,17,42,2017,,
viewdoi1018739A26951,17,44,2017,,
viewdoi1018739A22T1F,17,32,2017,,
viewdoi1018739A21R9G,17,22,2017,,
viewdoi1018739A2967P,17,28,2017,,
viewurnuuid346e2aad31144cc7917f22efc2ae2898,17,106,2017,,
viewurnuuida0a57a2e7f6746ed9762a1644a743ec8,16,32,2017,,
viewdoi1018739A23Z3W,16,48,2017,,
viewurnuuid89fd72f15d30407893d299462759d496,16,38,2017,,
viewurnuuid2d6c7992910049eabd8bf08dfb5948a5,16,31,2017,,
viewdoi103334CDIAC00001V2017,522,769,2018,https://arcticdata.io/catalog/view/doi:10.3334/CDIAC/00001_V2017,Obsolete or Removed
viewdoi103334CDIACATG032,114,163,2018,https://arcticdata.io/catalog/view/doi:10.3334/CDIAC/ATG.032,Obsolete or Removed
viewdoi1018739A21R9G,61,213,2018,https://arcticdata.io/catalog/view/doi:10.18739/A21R9G,
viewdoi103334CDIACGCP2016,59,80,2018,https://arcticdata.io/catalog/view/doi:10.3334/CDIAC/GCP_2016,Obsolete or Removed
viewdoi1018739A2WS8HK6X,51,85,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2WS8HK6X,
viewessdiveba81a8a8e0bef3120180330T223152179,51,79,2018,https://arcticdata.io/catalog/view/ess-dive-ba81a8a8e0bef31-20180330T223152179,Obsolete or Removed
viewdoi1018739A2556Q,50,131,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2556Q,
viewdoi103334CDIACGLOBALMETHANEBUDGET2016V11,50,68,2018,https://arcticdata.io/catalog/view/doi:10.3334/CDIAC/GLOBAL_METHANE_BUDGET_2016_V1.1,Obsolete or Removed
viewdoi1018739A2KG55,50,82,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2KG55,
viewdoi1018739A2JH3D23R,49,86,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2JH3D23R,
viewdoi1018739A2W22P,44,62,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2W22P,
viewdoi1018739A2CD5M,43,82,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2CD5M,
viewessdiveba81a8a8e0bef3120180727T203854467,42,66,2018,https://arcticdata.io/catalog/view/ess-dive-ba81a8a8e0bef31-20180727T203854467,Obsolete or Removed
viewessdive1,41,88,2018,https://arcticdata.io/catalog/view/ess-dive.1,
viewdoi1018739A2MV9S,41,71,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2MV9S,
viewessdive9dbb887ee8f13fd20180828T195338884,37,76,2018,https://arcticdata.io/catalog/view/ess-dive-9dbb887ee8f13fd-20180828T195338884,Obsolete or Removed
viewessdive1e51ee20381d44d20180330T195330088,37,54,2018,https://arcticdata.io/catalog/view/ess-dive-1e51ee20381d44d-20180330T195330088,Obsolete or Removed
viewdoi1018739A2DR2P790,36,63,2018,https://arcticdata.io/catalog/view/doi:10.18739/A2DR2P790,
viewessdivecb126697bf31ead20180904T225447307,36,99,2018,https://arcticdata.io/catalog/view/ess-dive-cb126697bf31ead-20180904T225447307,Obsolete or Removed
viewdoi103334CDIACATGDB1001,35,161,2018,https://arcticdata.io/catalog/view/doi:10.3334/CDIAC/ATG.DB1001,Obsolete or Removed
viewdoi1018739A2FC5W,35,98,2018,,
viewurnuuid5fd46fd001034b8d82bab328403e8168,35,95,2018,,
viewdoi1018739A2TK3M,34,65,2018,,
viewdoi1018739A28C9R366,34,64,2018,,
viewdoi1018739A2BJ96,34,51,2018,,
viewdoi1018739A20298,33,53,2018,,
viewessdiveaa6e33480c133b020181031T162314311,33,52,2018,,
viewdoi1018739A25T3FZ8X,33,66,2018,,
viewdoi1018739A23K4G,33,50,2018,,
viewdoi1018739A28C6Q,32,63,2018,,
viewdoi1018739A2GW0G,31,59,2018,,
view,30,40,2018,,
viewessdivea20030142c2629e20180330T150355094500,30,48,2018,,
viewurnuuidb43c0daa162b4c4595da4baf82d6958b,29,58,2018,,
viewdoi1018739A2Z37J,29,72,2018,,
viewdoi103334CDIACATG012,29,49,2018,,
viewdoi1018739A2KK3F,28,56,2018,,
viewdoi105065D69G5JX5,28,57,2018,,
viewessdiveaa6e33480c133b020181009T215354562,25,57,2018,,
viewessdive1135e8ebd08d16220180426T220128935,25,34,2018,,
viewdoi1018739A2781G,24,45,2018,,
viewdoi1018739A2X68N,24,30,2018,,
viewdoi1018739A2TP3N,24,51,2018,,
viewdoi1018739A2166T,24,49,2018,,
viewdoi1018739A2HV9V,22,37,2018,,
viewdoi1018739A23N20D37,22,40,2018,,
viewdoi105065D6N014HK,22,35,2018,,
viewdoi103334CDIACLUENDP0502008,22,32,2018,,
viewdoi1018739A2M58H,22,35,2018,,
viewdoi1018739A2G27V,22,38,2018,,
catalogviewdoi1018739A24M9198B,404,533,2019,https://arcticdata.io/catalog/view/doi:10.18739/A24M9198B,
catalogviewdoi1018739A2JH3D23R,97,145,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2JH3D23R,
catalogviewdoi1018739A20P0WQ7M,82,127,2019,https://arcticdata.io/catalog/view/doi:10.18739/A20P0WQ7M,
catalogviewdoi1018739A25T3FZ8X,75,147,2019,https://arcticdata.io/catalog/view/doi:10.18739/A25T3FZ8X,
catalogviewdoi1018739A2CD5M,54,100,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2CD5M,
catalogviewdoi1018739A21C1TF69,47,92,2019,https://arcticdata.io/catalog/view/doi:10.18739/A21C1TF69,
catalogviewdoi1018739A26D5PB2S,45,65,2019,https://arcticdata.io/catalog/view/doi:10.18739/A26D5PB2S,
catalogviewdoi1018739A2KG55,45,53,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2KG55,
catalogviewdoi1018739A28P5V92S,43,46,2019,https://arcticdata.io/catalog/view/doi:10.18739/A28P5V92S,
catalogviewdoi1018739A2DR2P790,43,52,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2DR2P790,
catalogviewdoi1018739A2TM72117,41,98,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2TM72117,
catalogviewdoi1018739A2S46H57S,39,140,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2S46H57S,
catalogviewdoi1018739A2B853H78,39,50,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2B853H78,
catalogviewdoi105065D69G5JX5,38,68,2019,https://arcticdata.io/catalog/view/doi:10.5065/D69G5JX5,
catalogviewdoi1018739A2VC2G,37,46,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2VC2G,
catalogviewhttpspastalternetedupackagemetadataemlknblterbnz5604,36,76,2019,https://arcticdata.io/catalog/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-bnz/560/4,
catalogviewdoi1018739A2B56D46X,35,55,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2B56D46X,
catalogviewdoi105065D66Q1VB7,34,78,2019,https://arcticdata.io/catalog/view/doi:10.5065/D66Q1VB7,
catalogviewdoi1018739A20298,34,46,2019,https://arcticdata.io/catalog/view/doi:10.18739/A20298,
catalogviewdoi1018739A2G27V,32,62,2019,https://arcticdata.io/catalog/view/doi:10.18739/A2G27V,
catalogviewdoi1018739A2VQ2S94D,32,92,2019,,
catalogviewdoi1018739A2K35MD3N,31,45,2019,,
catalogviewdoi1018739A2BZ61825,31,48,2019,,
catalogviewdoi105065D6DV1H19,29,52,2019,,
catalogviewdoi1018739A2FX73Z0Z,28,43,2019,,
catalogviewdoi1018739A2V40JZ6C,26,34,2019,,
catalogviewurnuuid517b867920db4c89a29c6410cbd08afe,25,49,2019,,
catalogviewdoi1018739A2FF3M027,24,42,2019,,
catalogviewdoi1018739A2TH8BM6X,24,54,2019,,
catalogviewdoi1018739A21R9G,24,89,2019,,
catalogviewdoi1018739A2G15TB05,24,44,2019,,
catalogviewdoi1018739A2RF5KF5N,24,47,2019,,
catalogviewdoi105065D6N014HK,23,29,2019,,
catalogviewdoi1018739A2WS8HK6X,23,36,2019,,
catalogviewdoi1018739A2S17SS1M,23,27,2019,,
catalogviewdoi1018739A2VT1GP7Q,23,52,2019,,
catalogviewdoi1018739A2X921J1G,22,36,2019,,
catalogviewdoi1018739A2CR5NC1B,22,41,2019,,
catalogviewdoi1018739A2D79596Q,22,29,2019,,
catalogviewdoi1018739A21Z41S5S,22,48,2019,,
catalogviewurnuuid8009cc1308d54bb2ad9adc0f5dbfbcd0,21,29,2019,,
catalogviewurnuuid0bb9fd5a1ea142539c84fc5289c16c6f,21,37,2019,,
catalogviewdoi1018739A26T0GW17,21,43,2019,,
catalogviewdoi1018739A26S1B,21,48,2019,,
catalogviewdoi1018739A2B56D44Z,20,35,2019,,
catalogviewurnuuid3ce6caa8bede40478bafc6d38e45c1d5,19,44,2019,,
catalogviewdoi1018739A2985M,19,35,2019,,
catalogviewdoi1018739A28S4JP15,19,44,2019,,
catalogviewurnuuid9ae08ae7f3404c3e8cd2425154c2a435,19,40,2019,,
catalogviewurnuuid1b96e99420a14445a3273256c040034f,18,45,2019,,
catalogviewdoi1018739A21R6N14K,114,202,2020,https://arcticdata.io/catalog/view/doi:10.18739/A21R6N14K,
catalogviewdoi1018739A25T3FZ8X,84,132,2020,https://arcticdata.io/catalog/view/doi:10.18739/A25T3FZ8X,
catalogviewdoi105065D69G5JX5,71,133,2020,https://arcticdata.io/catalog/view/doi:10.5065/D69G5JX5,
catalogviewdoi1018739A26D5PB2S,68,124,2020,https://arcticdata.io/catalog/view/doi:10.18739/A26D5PB2S,
catalogviewdoi1018739A2S17SS80,65,188,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2S17SS80,
catalogviewdoi1018739A26M3340D,53,105,2020,https://arcticdata.io/catalog/view/doi:10.18739/A26M3340D,
catalogviewdoi1018739A2ZS2KD0Z,51,70,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2ZS2KD0Z,
catalogviewdoi1018739A2222R601,50,59,2020,https://arcticdata.io/catalog/view/doi:10.18739/A2222R601,
