child_rm,parent_rm,parent_metadata_pid
resource_map_doi:10.18739/A2226R,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2X254,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2HR72,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A25S0N,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2ZZ5D,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A24N9C,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2XZ6G,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A27F97,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A23R7B,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2D53R,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2X856,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A28G27,resource_map_doi:10.18739/A2K649T6D,doi:10.18739/A2K649T6D
resource_map_doi:10.18739/A2NN91,resource_map_doi:10.18739/A2N00ZV0V,doi:10.18739/A2N00ZV0V
resource_map_doi:10.18739/A27Z7N,resource_map_doi:10.18739/A2N00ZV0V,doi:10.18739/A2N00ZV0V
resource_map_doi:10.18739/A20K01,resource_map_doi:10.18739/A2N00ZV0V,doi:10.18739/A2N00ZV0V
resource_map_doi:10.18739/A2SG2W,resource_map_doi:10.18739/A2N00ZV0V,doi:10.18739/A2N00ZV0V
resource_map_doi:10.18739/A2484P,resource_map_doi:10.18739/A2N00ZV0V,doi:10.18739/A2N00ZV0V
resource_map_doi:10.18739/A2XF9F,resource_map_doi:10.18739/A2NZ80R0M,doi:10.18739/A2NZ80R0M
resource_map_doi:10.18739/A29882M52,resource_map_doi:10.18739/A2NZ80R0M,doi:10.18739/A2NZ80R0M
resource_map_urn:uuid:05e788f7-af8f-4a11-be48-23976c2aebc1,resource_map_doi:10.18739/A2NZ80R0M,doi:10.18739/A2NZ80R0M
resource_map_urn:uuid:eb7979c7-435c-41bb-93d8-127da328f725,resource_map_doi:10.18739/A2NZ80R0M,doi:10.18739/A2NZ80R0M
resource_map_urn:uuid:3828618c-ef8d-4a8c-8b75-e6917c945d5b,resource_map_doi:10.18739/A2NZ80R0M,doi:10.18739/A2NZ80R0M
resource_map_doi:10.18739/A2T53G,resource_map_doi:10.18739/A2M61BQ74,doi:10.18739/A2M61BQ74
resource_map_doi:10.18739/A2G83D,resource_map_doi:10.18739/A2M61BQ74,doi:10.18739/A2M61BQ74
resource_map_doi:10.18739/A27N99,resource_map_doi:10.18739/A2M61BQ74,doi:10.18739/A2M61BQ74
resource_map_doi:10.18739/A22Z5B,resource_map_doi:10.18739/A2M61BQ74,doi:10.18739/A2M61BQ74
resource_map_doi:10.18739/A2CV4BR73,resource_map_doi:10.18739/A2M61BQ74,doi:10.18739/A2M61BQ74
resource_map_doi:10.18739/A2VR9X,resource_map_doi:10.18739/A2M61BQ74,doi:10.18739/A2M61BQ74
resource_map_doi:10.18739/A2ZC3S,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2X34MR4B,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_urn:uuid:b881d7fc-7ccf-4b55-a51d-9510ddf9453b,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A26V79,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2PZ4J,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2NZ47,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_urn:uuid:5a537065-41d3-4c77-a91c-e64c0ff10ae6,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2K539,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_urn:uuid:9b4a3edc-dad3-429c-abab-fbde082749e0,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2MZ59,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2TP0H,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2J831,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2WG1F,resource_map_doi:10.18739/A2SQ8QJ4C,doi:10.18739/A2SQ8QJ4C
resource_map_doi:10.18739/A2RZ45,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2653W,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A22G10,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2JG0Z,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2XN9H,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2WR7G,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A21G09,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2JS9H72S,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A28Z56,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A25827,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2CR9K,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2HG0N,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2P550,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2DR74,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2SZ67,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2N83Z,resource_map_doi:10.18739/A2PZ51N0V,doi:10.18739/A2PZ51N0V
resource_map_doi:10.18739/A2QR89,resource_map_doi:10.18739/A2RR1PN4P,doi:10.18739/A2RR1PN4P
resource_map_doi:10.18739/A2BG1G,resource_map_doi:10.18739/A2RR1PN4P,doi:10.18739/A2RR1PN4P
resource_map_doi:10.18739/A2WG2T,resource_map_doi:10.18739/A2RR1PN4P,doi:10.18739/A2RR1PN4P
resource_map_doi:10.18739/A23Z7D,resource_map_doi:10.18739/A2RR1PN4P,doi:10.18739/A2RR1PN4P
resource_map_doi:10.18739/A29G2J,resource_map_doi:10.18739/A2WH2DF8T,doi:10.18739/A2WH2DF8T
resource_map_doi:10.18739/A2PP08,resource_map_doi:10.18739/A2WH2DF8T,doi:10.18739/A2WH2DF8T
resource_map_doi:10.18739/A2NZ80R0M,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A20863623,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2FF3M12P,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A29P2W68X,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2348GH1H,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2K649T6D,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2TM7221P,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A26W9695B,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2BN9X393,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A25X25D45,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2DF6K42F,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2ZC7RV51,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A28P5V98P,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2XD0QZ4V,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2J678X65,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2N00ZV0V,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2CF9J726,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2SQ8QJ4C,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2WH2DF8T,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A27P8TD9X,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
resource_map_doi:10.18739/A2GF0MX30,resource_map_doi:10.18739/A2VH5CJ8K,doi:10.18739/A2VH5CJ8K
