child_rm,parent_rm,parent_metadata_pid
resource_map_doi:10.18739/A21N7P,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A2XB9D,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A25V57,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A29N8J,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A2TN7T,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A2ZC0N,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_urn:uuid:1b88f63a-4169-4851-938f-7cebeb69d562,resource_map_doi:10.18739/A27P8TD9X,doi:10.18739/A27P8TD9X
resource_map_urn:uuid:c541afa1-e8c1-45f9-a1f1-69f284048b48,resource_map_doi:10.18739/A27P8TD9X,doi:10.18739/A27P8TD9X
resource_map_urn:uuid:7e8f9642-162c-4e47-91e9-2a5123531d79,resource_map_doi:10.18739/A27P8TD9X,doi:10.18739/A27P8TD9X
resource_map_doi:10.18739/A2SN8W,resource_map_doi:10.18739/A27P8TD9X,doi:10.18739/A27P8TD9X
resource_map_doi:10.18739/A2XC1Q,resource_map_doi:10.18739/A27P8TD9X,doi:10.18739/A27P8TD9X
resource_map_doi:10.18739/A22541,resource_map_doi:10.18739/A27P8TD9X,doi:10.18739/A27P8TD9X
resource_map_doi:10.18739/A2SV5T,resource_map_doi:10.18739/A24X54H4X,doi:10.18739/A24X54H4X
