metadataPID,num_datasets
doi:10.18739/A24F1MK1T,30
doi:10.18739/A29G5GD77,5
doi:10.18739/A2CZ3259S,90
doi:10.18739/A2BZ6189J,54
doi:10.18739/A2R785Q1D,300
doi:10.18739/A28K74X6T,21
doi:10.18739/A2CJ87K8H,10
doi:10.18739/A23F4KM7K,2
doi:10.18739/A2RF5KF5N,4
doi:10.18739/A20P0WR72,30
doi:10.18739/A2862BC5Z,90
doi:10.18739/A2MG7FW84,300
doi:10.18739/A2VX0642G,300
doi:10.18739/A2MP4VN5F,6
doi:10.18739/A22Z12P9Z,3
doi:10.18739/A21G0HV2P,3
doi:10.18739/A2PK0723G,1
